accident_id,num_vehicles,num_casualties,accident_severity,accident_damages,police_department,police_attended,urban_vs_rural,road_type,road_conditions,weather_conditions,light_conditions,date,year,weekday,hour,longitude,latitude
2005470504341,2,1,Slight,1494,Sussex,Yes,Urban,Single carriageway,Dry,Fine,Daylight,06/06/2005,2005,1-Monday,17,-0.419874,50.828904
2014100345914,2,2,Slight,1110,Northumbria,Yes,Rural,Dual carriageway,Dry,Fine,Daylight,23/06/2014,2014,1-Monday,13,-1.559602,55.136271
200501LX51416,2,1,Serious,12204,Metropolitan Police,Yes,Urban,Dual carriageway,Wet,Raining,Darkness,26/11/2005,2005,6-Saturday,8,-0.123597,51.485965
201150FP2F002,2,1,Slight,1107,Devon and Cornwall,Yes,Urban,Single carriageway,Dry,Fine,Darkness,14/01/2011,2011,5-Friday,19,-3.574756,50.438023
2006460127621,2,3+,Slight,1135,Kent,Yes,Urban,Single carriageway,Dry,Fine,Daylight,30/05/2006,2006,2-Tuesday,21,0.24046,51.216516
2013160D00201,2,1,Slight,666,Humberside,Yes,Urban,Single carriageway,Ice,Fine,Daylight,16/01/2013,2013,3-Wednesday,7,-0.385705,53.779594
200801RY10120,1,1,Slight,673,Metropolitan Police,Yes,Urban,Single carriageway,Dry,Fine,Daylight,11/04/2008,2008,5-Friday,18,0.088584,51.445236
201542I048202,2,1,Slight,1477.5,Essex,No,Urban,Single carriageway,Dry,Fine,Daylight,16/02/2015,2015,1-Monday,12,1.158632,51.800643
200550D21P542,2,2,Slight,424,Devon and Cornwall,No,Urban,Single carriageway,Dry,Raining,Daylight,26/11/2005,2005,6-Saturday,15,-3.531771,50.724326
2008070260253,3+,3+,Slight,1185,Cheshire,No,Urban,Dual carriageway,Dry,Fine,Darkness,23/08/2008,2008,6-Saturday,22,-2.59415,53.39625
2011211000125,2,1,Slight,133.5,Staffordshire,Yes,Rural,Single carriageway,Dry,Fine,Daylight,08/01/2011,2011,6-Saturday,13,-2.179067,52.528766
2013471304227,3+,3+,Slight,479.5,Sussex,Yes,Urban,Single carriageway,Dry,Fine,Daylight,13/08/2013,2013,2-Tuesday,16,0.567881,50.867232
200720D212901,1,1,Serious,4931,West Midlands,Yes,Urban,Single carriageway,Dry,Fine,Daylight,14/04/2007,2007,6-Saturday,17,-1.887105,52.50862
2013213001528,3+,2,Slight,1182.5,Staffordshire,Yes,Rural,Dual carriageway,Dry,Fine,Darkness,13/03/2013,2013,3-Wednesday,22,-1.810387,52.658799
201145EL59383,2,1,Slight,466.5,Surrey,Yes,Rural,Dual carriageway,Dry,Fine,Darkness,23/03/2011,2011,3-Wednesday,5,-0.426572,51.31219
201001YE80687,2,1,Slight,820.5,Metropolitan Police,No,Urban,Dual carriageway,Wet,Raining,Daylight,01/10/2010,2010,5-Friday,7,-0.056455,51.665715
200501QA10338,2,1,Slight,318,Metropolitan Police,Yes,Urban,Single carriageway,Dry,Fine,Darkness,07/09/2005,2005,3-Wednesday,22,-0.382398,51.584421
2006520065048,2,2,Slight,730,Avon and Somerset,Yes,Urban,Single carriageway,Dry,Fine,Daylight,01/06/2006,2006,4-Thursday,15,-2.606818,51.471083
2011160B02141,2,3+,Slight,255.5,Humberside,Yes,Rural,Roundabout,Dry,Fine,Daylight,03/06/2011,2011,5-Friday,18,-0.414824,53.586234
200711BF17050,2,1,Slight,189,Durham,No,Rural,Single carriageway,Dry,Fine,Daylight,15/10/2007,2007,1-Monday,8,-1.417792,54.784751
200505AW00818,1,1,Serious,9299,Merseyside,Yes,Urban,Dual carriageway,Dry,Fine,Darkness,17/05/2005,2005,2-Tuesday,22,-2.991442,53.355587
